paper_id,title,signal_type,asset_class,num_performance_metrics,sample_metric,extraction_confidence,num_validation_flags,validation_flags
arxiv:0808.1710v3,Dynamic modeling of mean-reverting spreads for statistical arbitrage,stat_arb_pairs,equities;commodities,0,,high,1,no_performance_metrics_found
arxiv:0911.4030v1,The StressVaR: A New Risk Concept for Superior Fund Allocation,low_volatility;other,other,7,Sharpe ratio=2.9ratio,high,0,
arxiv:1108.2937v2,Statistical Methods for Estimating the non-random Content of Financial Markets,momentum,fx;futures_multi_asset,3,Average Sharpe ratio (stress tests)=2.2ratio,high,0,
arxiv:1108.3155v2,About the non-random Content of Financial Markets,momentum,fx;equities;commodities,3,Average Sharpe ratio across stress tests=2.2ratio,high,0,
arxiv:1212.4890v2,Bollinger Bands Thirty Years Later,reversal;stat_arb_pairs,equities,6,average duration of winning trades=8.6count,high,0,
arxiv:1301.1893v1,Dynamics of episodic transient correlations in currency exchange rate returns and their predictability,momentum;reversal,fx,3,percentage of significant Hxxx windows=13.5percent,high,0,
arxiv:1303.4314v3,Reinvestigating the Uncovered Interest Rate Parity Puzzle via Analysis of Multivariate Tail Dependence in Currency Carry Trades,carry,fx,6,Mean difference between AIC scores (C-F-G vs C-G)=2.33other,high,0,
arxiv:1404.3274v1,Two centuries of trend following,momentum,futures_multi_asset,108,Sharpe ratio=0.8ratio,high,0,
arxiv:1406.4322v1,Upside and Downside Risk Exposures of Currency Carry Trades via Tail Dependence,carry,fx,6,R-squared (Low IR Basket Upper TD)=0.57ratio,high,0,
arxiv:1412.7269v2,Large-scale empirical study on pairs trading for all possible pairs of stocks listed on the first section of the Tokyo Stock Exchange,stat_arb_pairs,equities,3,winning probability=75.0percent,high,0,
arxiv:1510.01679v2,Deconstructing the Low-Vol Anomaly,low_volatility;value,equities,8,Sharpe ratio=0.86ratio,high,0,
arxiv:1512.06228v1,Using machine learning for medium frequency derivative portfolio trading,ml_composite,fixed_income,7,Test Recall rate (Actual Up)=60.0percent,high,0,
arxiv:1602.00865v1,Tail Risk Premia for Long-Term Equity Investors,volatility_risk_premium,equities;options_volatility,4,Correlation=-0.6ratio,high,0,
arxiv:1602.00931v2,Should employers pay their employees better? An asset pricing approach,other,equities,12,Sharpe ratio=0.37ratio,high,0,
arxiv:1608.03636v1,A General Framework for Pairs Trading with a Control-Theoretic Point of View,stat_arb_pairs,equities,0,,high,1,no_performance_metrics_found
arxiv:1609.04640v3,Statistically validated lead-lag networks and inventory prediction in the foreign exchange market,alternative_data;ml_composite,fx,5,Mean Adjusted Rand Index=0.87ratio,high,0,
arxiv:1611.01463v1,International Portfolio Optimisation with Integrated Currency Overlay Costs and Constraints,carry;other,equities;fixed_income;fx,4,adjusted expected return=1.426percent,high,0,
arxiv:1612.05072v1,Predictability Hidden by Anomalous Observations,value;volatility_risk_premium;other,equities,7,Out-of-sample R2=0.51percent,high,0,
arxiv:1701.05016v1,Mean-Reverting Portfolio Design with Budget Constraint,stat_arb_pairs;reversal,equities;futures_multi_asset;fx;other,0,,high,1,no_performance_metrics_found
arxiv:1701.07175v1,Day of the Week Effect in biotechnology stocks: An Application of the GARCH processes,seasonality;momentum;size,equities,0,,high,1,no_performance_metrics_found
arxiv:1702.07374v1,Time series momentum and contrarian effects in the Chinese stock market,momentum;reversal,equities,0,,high,1,no_performance_metrics_found
arxiv:1705.08022v1,Using Macroeconomic Forecasts to Improve Mean Reverting Trading Strategies,reversal;ml_composite;alternative_data,fx,2,APR=4.084percent,high,0,
arxiv:1706.07021v1,Stop-loss and Leverage in optimal Statistical Arbitrage with an application to Energy market,stat_arb_pairs;reversal,commodities,6,In-Sample return=0.145percent,high,0,
arxiv:1801.03018v1,Predict Forex Trend via Convolutional Neural Networks,ml_composite;momentum;other,fx,2,accuracy rate=82.0percent,high,0,
arxiv:1801.07941v1,Spurious seasonality detection: a non-parametric test proposal,seasonality;other,equities,0,,high,1,no_performance_metrics_found
arxiv:1802.03708v7,A Time-Varying Network for Cryptocurrencies,momentum;other,crypto,3,t-statistic=9.0ratio,high,0,
arxiv:1806.05876v1,Financial Risk and Returns Prediction with Modular Networked Learning,momentum;reversal;low_volatility;ml_composite,equities,40,hit rate=0.855464ratio,high,0,
arxiv:1806.06148v4,"Quantile Spectral Beta: A Tale of Tail Risks, Investment Horizons, and Asset Prices",momentum;value;carry;event_driven;stat_arb_pairs;other,equities;fixed_income;fx;commodities;futures_multi_asset,0,,high,1,no_performance_metrics_found
arxiv:1807.11751v1,Co-existence of Trend and Value in Financial Markets: Estimating an Extended Chiarella Model,momentum;value,futures_multi_asset,12,adjusted R-square=0.001ratio,high,0,
arxiv:1808.02505v2,Combining Independent Smart Beta Strategies for Portfolio Optimization,momentum;low_volatility,equities,15,Sharpe ratio=0.42ratio,high,0,
arxiv:1811.10109v2,The Anatomy of a Cryptocurrency Pump-and-Dump Scheme,event_driven;ml_composite;alternative_data,crypto,1,Return on investment=60.0percent,high,0,
arxiv:1812.06000v1,The Rank Effect,value;other,commodities;futures_multi_asset,14,Sharpe ratio=0.54ratio,high,0,
arxiv:1902.04517v2,Wikipedia and Digital Currencies: Interplay Between Collective Attention and Market Performance,sentiment_text;alternative_data,crypto,3,average return=0.62ratio,high,0,
arxiv:1903.06346v1,Optimal FX Hedge Tenor with Liquidity Risk,carry,fx,18,Annualized Return=2.55percent,high,0,
arxiv:1904.00890v1,Momentum and liquidity in cryptocurrencies,momentum;liquidity,crypto,36,mean daily return=0.52percent,high,0,
arxiv:1904.04912v3,Enhancing Time Series Momentum Strategies Using Deep Neural Networks,momentum;ml_composite,commodities;fixed_income;fx;futures_multi_asset,4,Sharpe ratio=2.804ratio,high,0,
arxiv:1908.05419v1,"Modelling Crypto Asset Price Dynamics, Optimal Crypto Portfolio, and Crypto Option Valuation",low_volatility;ml_composite,crypto;equities,17,Sharpe ratio=0.0502ratio,high,0,
arxiv:1910.08531v2,Healthy... Distress... Default,stat_arb_pairs;sentiment_text;alternative_data,equities,0,,high,1,no_performance_metrics_found
arxiv:1910.13115v2,Horse race of weekly idiosyncratic momentum strategies with respect to various risk metrics: Evidence from the Chinese stock market,momentum;reversal,equities,13,annualized return=5.2percent,high,0,
arxiv:1911.02194v1,A Rational Finance Explanation of the Stock Predictability Puzzle,other,equities;options_volatility,0,,high,1,no_performance_metrics_found
arxiv:1911.10107v1,Deep Reinforcement Learning for Trading,momentum;ml_composite,futures_multi_asset,6,Sharpe ratio=0.604ratio,high,0,
arxiv:1912.11059v1,Forecasting Implied Volatility Smile Surface via Deep Learning and Attention Mechanism,ml_composite;volatility_risk_premium;other,options_volatility;equities,36,MSE=1.024ratio,high,0,
arxiv:2002.04304v1,Timing Excess Returns A cross-universe approach to alpha,momentum;other,equities;fixed_income;other,16,Sharpe Ratio=0.61ratio,high,0,
arxiv:2002.07477v2,ESG investments: Filtering versus machine learning approaches,ml_composite;other,equities,6,Sharpe Ratio=1.14ratio,high,0,
arxiv:2003.02515v4,Time-varying neural network for stock return prediction,momentum;size;value;quality_profitability;other;ml_composite,equities,12,Sharpe ratio=0.83ratio,high,0,
arxiv:2003.08302v2,The Low-volatility Anomaly and the Adaptive Multi-Factor Model,low_volatility;ml_composite,equities;futures_multi_asset,19,Excess return=1.21ratio,high,0,
arxiv:2004.06985v1,Extending Deep Reinforcement Learning Frameworks in Cryptocurrency Market Making,other;ml_composite;reversal,crypto,2,cumulative return=16.25percent,high,0,
arxiv:2005.02527v1,ESG2Risk: A Deep Learning Framework from ESG News to Stock Volatility Prediction,sentiment_text;alternative_data;low_volatility,equities,8,RMSE=0.289ratio,high,0,
arxiv:2005.09794v1,Pairs Trading with Nonlinear and Non-Gaussian State Space Models,stat_arb_pairs;reversal,equities;futures_multi_asset,6,Sharpe ratio=2.9518ratio,high,0,
arxiv:2008.09471v1,GA-MSSR: Genetic Algorithm Maximizing Sharpe and Sterling Ratio Method for RoboTrading,momentum;reversal;low_volatility;ml_composite,fx,25,Sharpe ratio=6.68ratio,high,0,
arxiv:2009.03094v1,Capturing dynamics of post-earnings-announcement drift using genetic algorithm-optimised supervised learning,momentum;value;quality_profitability;event_driven;ml_composite,equities,18,Top Quantile Portfolio Return=3.9percent,high,0,
arxiv:2009.07947v1,Using Machine Learning and Alternative Data to Predict Movements in Market Risk,ml_composite;alternative_data;sentiment_text;other,equities;options_volatility,15,balanced accuracy=63.3percent,high,0,
arxiv:2010.15611v1,Fear and Volatility in Digital Assets,momentum;sentiment_text;alternative_data,crypto;options_volatility,1,accuracy=0.434ratio,high,0,
arxiv:2012.06573v2,Risk & returns around FOMC press conferences: a novel perspective from computer vision,alternative_data;sentiment_text;other,equities,4,t-statistic=5.0ratio,high,0,
arxiv:2012.11594v1,Insider trading in the run-up to merger announcements. Before and after the UK's Financial Services Act 2012,event_driven,equities,7,Cumulative Average Abnormal Return=0.041ratio,high,0,
arxiv:2101.09738v3,Volatility Shocks and Currency Returns,volatility_risk_premium;other,fx,3,Sharpe ratio=0.61ratio,high,0,
arxiv:2103.02016v3,Trading Signals In VIX Futures,momentum;reversal;ml_composite,futures_multi_asset,60,Sharpe ratio=5.297ratio,high,0,
arxiv:2103.10813v1,Multi-Period Portfolio Optimization using Model Predictive Control with Mean-Variance and Risk Parity Frameworks,value;low_volatility;ml_composite,futures_multi_asset,5,Sharpe ratio=0.57ratio,high,0,
arxiv:2105.06827v3,Profitable Strategy Design for Trades on Cryptocurrency Markets with Machine Learning Techniques,ml_composite;momentum,crypto,18,Testing Accuracy=0.5199ratio,high,0,
arxiv:2105.10019v2,Enhancing Cross-Sectional Currency Strategies by Context-Aware Learning to Rank with Self-Attention,momentum;ml_composite,fx,15,Sharpe Ratio=-0.064ratio,high,0,
arxiv:2105.12825v2,Trade the Event: Corporate Events Detection for News-Based Event-Driven Trading,event_driven,equities,9,average return=1.74percent,high,0,
arxiv:2105.13727v3,Slow Momentum with Fast Reversion: A Trading Strategy Using Deep Learning and Changepoint Detection,momentum;reversal;ml_composite,futures_multi_asset,7,Sharpe ratio=1.62ratio,high,0,
arxiv:2106.04028v2,Deep Learning Statistical Arbitrage,stat_arb_pairs;ml_composite;other,equities,9,Sharpe ratio=4.16ratio,high,0,
arxiv:2106.06164v1,A new look at calendar anomalies: Multifractality and day of the week effect,seasonality;other,equities,0,,high,1,no_performance_metrics_found
arxiv:2107.05535v1,Predicting Risk-adjusted Returns using an Asset Independent Regime-switching Model,ml_composite;low_volatility,futures_multi_asset,44,Sharpe ratio=2.4ratio,high,0,
arxiv:2109.10662v1,Evaluation of Dynamic Cointegration-Based Pairs Trading Strategy in the Cryptocurrency Market,reversal;stat_arb_pairs,crypto;futures_multi_asset,6,Sharpe ratio=7.94ratio,high,0,
arxiv:2112.08534v3,Trading with the Momentum Transformer: An Intelligent and Interpretable Architecture,momentum;reversal,commodities;equities;fixed_income;fx;futures_multi_asset,7,Sharpe ratio=1.67ratio,high,0,
arxiv:2201.09319v1,Option Volume Imbalance as a predictor for equity market returns,alternative_data,equities;options_volatility,1,Sharpe ratio=4.4ratio,high,0,
arxiv:2202.10721v1,Risk Parity Portfolios with Skewness Risk: An Application to Factor Investing and Alternative Risk Premia,low_volatility;carry;other,equities;fixed_income;other,5,expected shortfall=28.46percent,high,0,
arxiv:2205.09179v1,Russia's Ruble during the onset of the Russian invasion of Ukraine in early 2022: The role of implied volatility and attention,sentiment_text;volatility_risk_premium;other,fx;options_volatility,12,R-squared=64.9percent,high,0,
arxiv:2206.00648v2,PreBit -- A multimodal model with Twitter FinBERT embeddings for extreme price movement prediction of Bitcoin,sentiment_text;momentum;other,crypto;commodities,15,Sharpe ratio=1.56ratio,high,0,
arxiv:2206.03742v1,Market-to-book Ratio in Stochastic Portfolio Theory,value;size,equities,4,Relative value on the last day=2.77319ratio,high,0,
arxiv:2207.00949v4,Stochastic arbitrage with market index options,other,options_volatility;equities,3,annualized mean excess return=9.81percent,high,0,
arxiv:2209.00121v1,150 Years of Return Predictability Around the World: A Holistic View,value;other,equities;fixed_income;other,7,t-statistic=-4.645ratio,high,0,
arxiv:2211.08281v1,Forecasting Bitcoin volatility spikes from whale transactions and CryptoQuant data using Synthesizer Transformer models,ml_composite;alternative_data;sentiment_text;low_volatility,crypto,10,RMSE=0.303ratio,high,0,
arxiv:2211.15912v1,Optimizing Stock Option Forecasting with the Assembly of Machine Learning Models and Improved Trading Strategies,ml_composite;other,options_volatility;equities,14,Accuracy=49.77percent,high,0,
arxiv:2301.08359v3,Domain-adapted Learning and Interpretability: DRL for Gas Trading,ml_composite;momentum;reversal;other,commodities;futures_multi_asset,14,Sharpe Ratio=1.32ratio,high,0,
